"FK_ArtsID,""Antall"",""AntallFlokk"",""RuteID"",""Aar1"",""LinjeIngenObs"",""LinjeIkkeTaksert"",""DatoEndret"""
3440,1,NA,814,2009,NA,NA,2009-12-31 00:00:00
3410,1,NA,814,2009,NA,NA,2009-12-31 00:00:00
2140,2,NA,814,2009,NA,NA,2009-12-31 00:00:00
3380,1,NA,814,2009,NA,NA,2009-12-31 00:00:00
4530,1,NA,814,2009,NA,NA,2009-12-31 00:00:00
390,1,NA,1424,2009,NA,NA,2009-12-31 00:00:00
2210,1,NA,1424,2009,NA,NA,2009-12-31 00:00:00
1420,NA,2,1406,2009,NA,NA,2009-12-31 00:00:00
2110,1,NA,1728,2009,NA,NA,2009-12-31 00:00:00
1500,1,NA,1728,2009,NA,NA,2009-12-31 00:00:00
3400,1,NA,1728,2009,NA,NA,2009-12-31 00:00:00
1110,1,NA,423,2009,NA,NA,2009-12-31 00:00:00
750,1,NA,423,2009,NA,NA,2009-12-31 00:00:00
900,2,NA,423,2009,NA,NA,2009-12-31 00:00:00
1110,1,NA,1208,2009,NA,NA,2009-12-31 00:00:00
1500,2,NA,1628,2009,NA,NA,2009-06-03 23:39:48
4620,2,NA,701,2009,NA,NA,2009-06-04 12:35:07
4610,2,NA,701,2009,NA,NA,2009-06-04 12:35:07
4460,1,NA,701,2009,NA,NA,2009-06-04 12:35:07
3370,1,NA,1003,2009,NA,NA,2009-06-05 20:15:16
590,21,NA,1110,2009,NA,NA,2009-06-06 10:22:19
720,2,NA,1110,2009,NA,NA,2009-06-06 10:22:19
570,1,NA,1110,2009,NA,NA,2009-06-06 10:22:19
1850,1,NA,1110,2009,NA,NA,2009-06-06 10:22:19
1510,3,NA,1103,2009,NA,NA,2009-06-06 22:41:29
1530,1,NA,1103,2009,NA,NA,2009-06-06 22:41:29
4900,1,NA,1103,2009,NA,NA,2009-06-06 22:41:29
4570,1,NA,1103,2009,NA,NA,2009-06-06 22:41:29
1500,1,NA,809,2009,NA,NA,2009-06-07 14:56:52
3410,2,NA,809,2009,NA,NA,2009-06-07 14:56:52
2110,1,NA,809,2009,NA,NA,2009-06-07 14:56:52
3450,1,NA,809,2009,NA,NA,2009-06-07 14:56:52
1500,2,NA,601,2009,NA,NA,2009-06-07 16:08:55
3410,1,NA,1732,2009,NA,NA,2009-06-07 17:07:18
1640,1,NA,1732,2009,NA,NA,2009-06-07 17:07:18
1510,1,NA,1732,2009,NA,NA,2009-06-07 17:07:18
2520,1,NA,1732,2009,NA,NA,2009-06-07 17:07:18
2140,2,NA,1413,2009,NA,NA,2009-06-09 15:47:39
2060,1,NA,1416,2009,NA,NA,2009-06-09 18:21:21
2140,1,NA,1416,2009,NA,NA,2009-06-09 18:21:21
1510,NA,6,1427,2009,NA,NA,2009-06-11 21:09:10
2140,2,NA,1627,2009,NA,NA,2009-06-12 11:46:34
1820,1,NA,1627,2009,NA,NA,2009-06-12 11:46:34
2210,1,NA,1627,2009,NA,NA,2009-06-12 11:46:34
4530,1,NA,1627,2009,NA,NA,2009-06-12 11:46:34
3740,1,NA,1408,2009,NA,NA,2009-06-13 21:19:57
2110,1,NA,404,2009,NA,NA,2009-06-14 22:18:53
1640,1,NA,404,2009,NA,NA,2009-06-14 22:18:53
1500,2,NA,404,2009,NA,NA,2009-06-14 22:18:53
2230,1,NA,412,2009,NA,NA,2009-06-14 22:21:18
5030,1,NA,412,2009,NA,NA,2009-06-14 22:21:18
4070,1,NA,412,2009,NA,NA,2009-06-14 22:21:18
5180,1,NA,412,2009,NA,NA,2009-06-14 22:21:18
4620,1,NA,412,2009,NA,NA,2009-06-14 22:21:18
3830,1,NA,412,2009,NA,NA,2009-06-14 22:21:18
1500,1,NA,436,2009,NA,NA,2009-06-14 22:57:26
1050,1,NA,436,2009,NA,NA,2009-06-14 22:57:26
4840,2,NA,436,2009,NA,NA,2009-06-14 22:57:26
4860,1,NA,436,2009,NA,NA,2009-06-14 22:57:26
1500,1,NA,415,2009,NA,NA,2009-06-15 00:37:36
900,1,NA,415,2009,NA,NA,2009-06-15 00:37:36
1640,1,NA,415,2009,NA,NA,2009-06-15 00:37:36
4320,1,NA,415,2009,NA,NA,2009-06-15 00:37:36
5530,1,NA,415,2009,NA,NA,2009-06-15 00:37:36
1510,1,NA,435,2009,NA,NA,2009-06-15 17:54:14
1480,NA,NA,435,2009,NA,NA,2009-06-15 17:54:14
1530,NA,NA,435,2009,NA,NA,2009-06-15 17:54:14
1510,1,NA,424,2009,NA,NA,2009-06-15 20:02:19
3410,2,NA,424,2009,NA,NA,2009-06-15 20:02:19
1530,1,NA,530,2009,NA,NA,2009-06-17 22:50:55
2060,3,NA,530,2009,NA,NA,2009-06-17 22:50:55
2140,1,3,530,2009,NA,NA,2009-06-17 22:50:55
2210,1,NA,530,2009,NA,NA,2009-06-17 22:50:55
3610,NA,5,530,2009,NA,NA,2009-06-17 22:50:55
5390,1,NA,530,2009,NA,NA,2009-06-17 22:50:55
5560,3,NA,530,2009,NA,NA,2009-06-17 22:50:55
4290,6,NA,530,2009,NA,NA,2009-06-17 22:50:55
1170,1,NA,1917,2009,NA,NA,2009-06-19 10:35:31
1510,1,NA,1917,2009,NA,NA,2009-06-19 10:35:31
1530,1,NA,1917,2009,NA,NA,2009-06-19 10:35:31
1880,3,3,1917,2009,NA,NA,2009-06-19 10:35:31
2090,4,NA,1917,2009,NA,NA,2009-06-19 10:35:31
2210,4,NA,1917,2009,NA,NA,2009-06-19 10:35:31
2390,1,NA,1917,2009,NA,NA,2009-06-19 10:35:31
3410,NA,1,1917,2009,NA,NA,2009-06-19 10:35:31
5380,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
3600,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
3970,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
3760,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
3570,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
5790,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
5160,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
5120,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
5050,0,NA,1917,2009,NA,NA,2009-06-19 10:35:31
4070,12,NA,1917,2009,NA,NA,2009-06-19 10:35:31
4090,2,NA,1917,2009,NA,NA,2009-06-19 10:35:31
5390,NA,7,1917,2009,NA,NA,2009-06-19 10:35:31
1170,1,NA,1924,2009,NA,NA,2009-06-19 10:39:36
1880,2,NA,1924,2009,NA,NA,2009-06-19 10:39:36
5380,2,NA,1924,2009,NA,NA,2009-06-19 10:39:36
4230,2,NA,1924,2009,NA,NA,2009-06-19 10:39:36
4840,7,NA,1924,2009,NA,NA,2009-06-19 10:39:36
5780,1,NA,1924,2009,NA,NA,2009-06-19 10:39:36
1550,1,NA,805,2009,NA,NA,2009-06-19 20:27:02
2140,1,NA,805,2009,NA,NA,2009-06-19 20:27:02
1480,NA,NA,1213,2009,NA,NA,2009-06-19 22:35:17
3380,1,NA,1213,2009,NA,NA,2009-06-19 22:35:17
4530,NA,NA,1213,2009,NA,NA,2009-06-19 22:35:17
4610,NA,NA,1213,2009,NA,NA,2009-06-19 22:35:17
4090,NA,NA,1213,2009,NA,NA,2009-06-19 22:35:17
2210,1,NA,515,2009,NA,NA,2009-06-21 18:58:32
2060,1,NA,515,2009,NA,NA,2009-06-21 18:58:32
3400,1,NA,515,2009,NA,NA,2009-06-21 18:58:32
1510,1,NA,813,2009,NA,NA,2009-06-21 20:08:02
3410,1,NA,1002,2009,NA,NA,2009-06-22 22:11:55
1060,2,NA,1426,2009,NA,NA,2009-06-27 08:07:39
1510,1,NA,1426,2009,NA,NA,2009-06-27 08:07:39
1880,1,NA,1426,2009,NA,NA,2009-06-27 08:07:39
1510,1,NA,1417,2009,NA,NA,2009-06-28 11:27:43
3410,1,NA,815,2009,NA,NA,2009-06-28 11:42:54
5050,1,NA,815,2009,NA,NA,2009-06-28 11:42:54
2140,1,NA,816,2009,NA,NA,2009-06-28 12:08:57
