Id;Aar;RuteNr;PktNr;FK_Vegetasjonstype1;Dekningsgrad1;;;;;;;
3275;2005;1502;1;28;40;;;;;;;
3276;2005;1502;2;7;70;;;;;;;
3277;2005;1502;3;1;50;;;;;;;
3278;2005;1502;4;1;50;;;;;;;
3279;2005;1502;5;1;40;;;;;;;
3280;2005;1502;6;5;50;;;;;;;
3281;2005;1502;11;5;50;;;;;;;
3282;2005;1502;12;5;60;;;;;;;
3283;2005;1502;13;13;40;;;;;;;
3284;2005;1502;14;8;40;;;;;;;
3285;2005;1502;15;21;50;;;;;;;
3286;2005;1502;17;5;50;;;;;;;
3287;2005;1502;18;3;50;;;;;;;
3288;2005;1503;1;13;50;;;;;;;
3289;2005;1503;2;13;75;;;;;;;
3290;2005;1503;3;9;95;;;;;;;
3291;2005;1503;4;9;95;;;;;;;
3292;2005;1503;5;24;95;;;;;;;
3293;2005;1503;6;30;95;;;;;;;
3294;2005;1503;7;9;100;;;;;;;
3295;2005;1503;8;5;50;;;;;;;
3296;2005;1503;9;6;80;;;;;;;
3297;2005;1503;10;10;100;;;;;;;
3298;2005;1503;11;13;40;;;;;;;
3299;2005;1503;12;6;100;;;;;;;
3300;2005;1503;13;6;100;;;;;;;
3301;2005;1503;14;6;50;;;;;;;
3302;2005;1503;17;6;100;;;;;;;
3303;2005;1503;18;6;100;;;;;;;
3304;2005;1503;19;16;50;;;;;;;
3305;2005;1503;20;13;80;;;;;;;
3306;2005;1504;2;23;50;;;;;;;
3307;2005;1504;3;24;100;;;;;;;
3308;2005;1504;4;24;100;;;;;;;
3309;2005;1504;5;23;100;;;;;;;
3310;2005;1504;6;23;50;;;;;;;
3311;2005;1504;7;24;90;;;;;;;
3312;2005;1504;8;24;100;;;;;;;
3313;2005;1504;9;24;50;;;;;;;
3314;2005;1504;10;23;80;;;;;;;
3315;2005;1504;12;22;100;;;;;;;
3316;2005;1504;13;22;100;;;;;;;
3317;2005;1504;14;22;100;;;;;;;
3318;2005;1504;15;22;50;;;;;;;
3319;2005;1504;16;23;100;;;;;;;
3320;2005;1504;17;23;100;;;;;;;
3321;2005;1504;18;23;90;;;;;;;
3322;2005;1504;19;23;80;;;;;;;
3323;2005;1504;20;23;80;;;;;;;
3324;2005;1508;1;16;100;;;;;;;
3325;2005;1508;2;10;33;;;;;;;
3326;2005;1508;3;10;60;;;;;;;
3327;2005;1508;4;25;80;;;;;;;
3328;2005;1508;5;25;100;;;;;;;
3329;2005;1508;6;25;100;;;;;;;
3330;2005;1508;7;25;100;;;;;;;
3331;2005;1508;8;25;100;;;;;;;
3332;2005;1508;9;25;100;;;;;;;
3333;2005;1508;10;25;100;;;;;;;
3334;2005;1508;11;25;80;;;;;;;
3335;2005;1508;12;25;70;;;;;;;
3336;2005;1508;13;4;70;;;;;;;
3337;2005;1508;14;18;100;;;;;;;
3338;2005;1508;15;18;100;;;;;;;
3339;2005;1508;16;18;100;;;;;;;
3340;2005;1508;17;18;100;;;;;;;
3341;2005;1508;18;18;100;;;;;;;
3342;2005;1508;19;15;100;;;;;;;
3343;2005;1508;20;15;100;;;;;;;
3344;2005;1515;1;13;70;;;;;;;
3345;2005;1515;2;8;60;;;;;;;
3346;2005;1515;3;1;80;;;;;;;
3347;2005;1515;4;31;60;;;;;;;
3348;2005;1515;5;1;70;;;;;;;
3349;2005;1515;6;5;60;;;;;;;
3350;2005;1515;7;6;50;;;;;;;
3351;2005;1515;8;8;90;;;;;;;
3352;2005;1515;9;13;50;;;;;;;
3353;2005;1515;10;25;75;;;;;;;
3354;2005;1515;11;8;50;;;;;;;
3355;2005;1515;12;9;78;;;;;;;
3356;2005;1515;13;13;70;;;;;;;
3357;2005;1515;14;1;60;;;;;;;
3358;2005;1515;15;13;50;;;;;;;
3359;2005;1515;16;8;80;;;;;;;
3360;2005;1515;17;13;60;;;;;;;
3361;2005;1515;18;6;85;;;;;;;
3362;2005;1515;19;5;95;;;;;;;
3363;2005;1516;2;9;45;;;;;;;
3364;2005;1516;3;16;40;;;;;;;
3365;2005;1516;4;6;50;;;;;;;
3366;2005;1516;5;9;50;;;;;;;
3367;2005;1516;6;13;40;;;;;;;
3368;2005;1516;7;8;70;;;;;;;
3369;2005;1516;8;10;40;;;;;;;
3370;2005;1516;9;8;45;;;;;;;
3371;2005;1516;10;13;50;;;;;;;
3372;2005;1516;11;13;50;;;;;;;
3373;2005;1516;12;9;75;;;;;;;
3374;2005;1516;13;15;80;;;;;;;
3375;2005;1516;14;10;85;;;;;;;
3376;2005;1516;15;8;65;;;;;;;
3377;2005;1516;16;8;75;;;;;;;
3378;2005;1516;17;14;80;;;;;;;
3379;2005;1516;18;8;90;;;;;;;
3380;2005;1516;19;6;50;;;;;;;
3381;2005;1516;20;9;50;;;;;;;
3382;2005;1517;1;13;70;;;;;;;
3383;2005;1517;2;22;80;;;;;;;
3384;2005;1517;3;21;70;;;;;;;
3385;2005;1517;4;23;100;;;;;;;
3386;2005;1517;5;22;70;;;;;;;
3387;2005;1517;6;21;50;;;;;;;
3388;2005;1517;7;23;90;;;;;;;
3389;2005;1517;8;22;80;;;;;;;
3390;2005;1517;9;13;70;;;;;;;
3391;2005;1517;10;13;80;;;;;;;
3392;2005;1517;11;13;60;;;;;;;
3393;2005;1517;12;22;40;;;;;;;
3394;2005;1517;13;23;70;;;;;;;
3395;2005;1517;14;22;45;;;;;;;
3396;2005;1517;15;22;50;;;;;;;
3397;2005;1517;16;21;60;;;;;;;
3398;2005;1517;17;21;60;;;;;;;
3399;2005;1517;18;21;70;;;;;;;
3400;2005;1517;19;14;80;;;;;;;
3401;2005;1517;20;13;70;;;;;;;
3402;2005;1518;7;23;100;;;;;;;
3403;2005;1518;8;23;100;;;;;;;
3404;2005;1518;9;23;50;;;;;;;
3405;2005;1518;10;23;100;;;;;;;
3406;2005;1518;11;23;100;;;;;;;
3407;2005;1518;12;24;70;;;;;;;
3408;2005;1518;13;24;100;;;;;;;
3409;2005;1518;14;24;100;;;;;;;
3410;2005;1519;1;21;70;;;;;;;
3411;2005;1519;2;21;100;;;;;;;
3412;2005;1519;3;22;90;;;;;;;
3413;2005;1519;4;22;70;;;;;;;
3414;2005;1519;5;13;90;;;;;;;
3415;2005;1519;6;13;50;;;;;;;
3416;2005;1519;7;22;40;;;;;;;
3417;2005;1519;8;22;40;;;;;;;
3418;2005;1519;9;21;40;;;;;;;
3419;2005;1519;10;13;50;;;;;;;
3420;2005;1519;11;13;50;;;;;;;
3421;2005;1519;12;13;70;;;;;;;
3422;2005;1519;13;21;50;;;;;;;
3423;2005;1519;14;21;40;;;;;;;
3424;2005;1519;15;2;50;;;;;;;
3425;2005;1519;18;21;100;;;;;;;
3426;2005;1519;19;21;100;;;;;;;
3427;2005;1519;20;21;100;;;;;;;
3428;2005;1520;1;13;70;;;;;;;
3429;2005;1520;2;13;70;;;;;;;
3430;2005;1520;3;7;55;;;;;;;
3431;2005;1520;4;13;55;;;;;;;
3432;2005;1520;5;7;100;;;;;;;
3433;2005;1520;6;7;55;;;;;;;
3434;2005;1520;7;3;55;;;;;;;
3435;2005;1520;8;22;100;;;;;;;
3436;2005;1520;9;22;100;;;;;;;
3437;2005;1520;10;13;80;;;;;;;
3438;2005;1520;11;21;65;;;;;;;
3439;2005;1520;12;21;50;;;;;;;
3440;2005;1520;13;1;50;;;;;;;
3441;2005;1520;14;21;50;;;;;;;
3442;2005;1520;15;7;80;;;;;;;
3443;2005;1520;16;28;50;;;;;;;
3444;2005;1520;17;28;50;;;;;;;
3445;2005;1520;18;7;100;;;;;;;
3446;2005;1520;19;7;90;;;;;;;
3447;2005;1520;20;13;85;;;;;;;
3448;2005;1521;1;22;100;;;;;;;
3449;2005;1521;2;22;50;;;;;;;
3450;2005;1521;3;12;100;;;;;;;
3451;2005;1521;4;5;60;;;;;;;
3452;2005;1521;5;15;50;;;;;;;
3453;2005;1521;6;6;80;;;;;;;
3454;2005;1521;7;13;80;;;;;;;
3455;2005;1521;8;13;50;;;;;;;
3456;2005;1521;9;28;50;;;;;;;
3457;2005;1521;10;28;50;;;;;;;
3458;2005;1521;11;5;80;;;;;;;
3459;2005;1521;12;4;100;;;;;;;
3460;2005;1521;13;4;100;;;;;;;
3461;2005;1521;14;5;60;;;;;;;
3462;2005;1521;15;7;100;;;;;;;
3463;2005;1521;16;22;100;;;;;;;
3464;2005;1521;17;9;80;;;;;;;
3465;2005;1521;18;22;100;;;;;;;
3466;2005;1521;19;22;100;;;;;;;
3467;2005;1521;20;22;100;;;;;;;
3468;2005;1601;1;24;100;;;;;;;
3469;2005;1601;2;24;100;;;;;;;
3470;2005;1601;3;24;100;;;;;;;
3471;2005;1601;4;24;100;;;;;;;
3472;2005;1601;5;24;100;;;;;;;
3473;2005;1601;6;24;100;;;;;;;
3474;2005;1601;7;24;100;;;;;;;
3475;2005;1601;8;24;100;;;;;;;
3476;2005;1601;9;24;100;;;;;;;
