Sp_ID;Artsnavn_Norsk;Artsnavn_Lat;English_name;STI_breeding_mean;STI_breeding_median;STI_breeding_10p;STI_breeding_90p
Accgentilis;Hønsehauk;Accipiter gentilis;Northern Goshawk;6.327670787;6.283333333;-0.766666667;13.06666667
Accnisus;Spurvehauk;Accipiter nisus;Eurasian Sparrowhawk;7.156547243;7.216666667;-0.5;14.3
Acrarundinaceus;Trostesanger;Acrocephalus arundinaceus;Great Reed Warbler;12.66241556;12.41666667;9.1;16.91666667
Acrdumetorum;Busksanger;Acrocephalus dumetorum;Blyth's Reed Warbler;8.916885912;9.066666667;5.466666667;11.68333333
Acrpalustris;Myrsanger;Acrocephalus palustris;Marsh Warbler;12.13348184;12;9.116666667;15.76666667
Acrschoenobaenus;Sivsanger;Acrocephalus schoenobaenus;Sedge Warbler;9.525799713;9.966666667;3.366666667;15.15
Acrscirpaceus;Rørsanger;Acrocephalus scirpaceus;Eurasian Reed Warbler;15.76870692;15.48333333;10.26666667;21.88333333
Acthypoleucos;Strandsnipe;Actitis hypoleucos;Common Sandpiper;7.292157878;7.3;-1.266666667;15.76666667
Aegcaudatus;Stjertmeis;Aegithalos caudatus;Long-tailed Tit;9.044329771;9.35;2.566666667;15.06666667
Aegfunereus;Perleugle;Aegolius funereus;Tengmalm's Owl;5.45069426;5.683333333;-0.466666667;10.61666667
Alaarvensis;Sanglerke;Alauda arvensis;Eurasian Skylark;8.401692348;8.816666667;1.1;15.3
Anacrecca;Krikkand;Anas crecca;Eurasian Teal;5.153552733;5.25;-2.7;12.31666667
Anapenelope;Brunnakke;Anas penelope;Eurasian Wigeon;3.256562497;3.666666667;-3.8;9.85
Anaplatyrhynchos;Stokkand;Anas platyrhynchos;Mallard;8.335251909;8.25;1.166666667;16
Ansanser;Grågås;Anser anser;Greylag Goose;9.998715705;9.866666667;4.1;16.15
Ansbrachyrhynchus;Kortnebbgås;Anser brachyrhynchus;Pink-footed Goose;-6.11073972;-6.883333333;-11.95;2.466666667
Ansfabalis;Sædgås;Anser fabalis;Bean Goose;1.528489868;2.083333333;-4.983333333;7.716666667
Antcervinus;Lappiplerke;Anthus cervinus;Red-throated Pipit;-2.477849393;-2.916666667;-6.033333333;2.1
Antpetrosus;Skjærpiplerke;Anthus petrosus;Eurasian Rock Pipit;7.904660115;8.5;3.033333333;11.78333333
Antpratensis;Heipiplerke;Anthus pratensis;Meadow Pipit;7.849613955;8.716666667;2.583333333;12.51666667
Anttrivialis;Trepiplerke;Anthus trivialis;Tree Pipit;8.159814157;8.266666667;2.766666667;13.45
Anaacuta;Stjertand;Anas acuta;Northern Pintail;4.058906285;4.15;-3.916666667;11.45
Apuapus;Tårnseiler;Apus apus;Common Swift;11.85561281;11.45;5.233333333;19.28333333
Aquchrysaetos;Kongeørn;Aquila chrysaetos;Golden Eagle;7.90537586;7.183333333;-1.516666667;18.46666667
Ardcinerea;Gråhegre;Ardea cinerea;Grey Heron;16.76680326;16.06666667;5.45;27.95
Areinterpres;Steinvender;Arenaria interpres;Ruddy Turnstone;-7.733318115;-8.533333333;-13.3;-1.05
Asiflammeus;Jordugle;Asio flammeus;Short-eared Owl;6.091601379;5.833333333;-2.983333333;14.81666667
Asiotus;Hornugle;Asio otus;Long-eared Owl;10.01524042;9.9;4.35;15.71666667
Aytfuligula;Toppand;Aythya fuligula;Tufted Duck;5.91596401;6.383333333;-1.433333333;12.21666667
Aytmarila;Bergand;Aythya marila;Greater Scaup;0.34756032;0.316666667;-4.566666667;5.2
Bomgarrulus;Sidensvans;Bombycilla garrulus;Bohemian Waxwing;3.510009016;3.783333333;-1.383333333;8.016666667
Bracanadensis;Kanadagås;Branta canadensis;Canada Goose;6.564284391;5.983333333;-1.233333333;14.86666667
Braleucopsis;Hvitkinngås;Branta leucopsis;Barnacle Goose;-5.386871948;-5.95;-11.06666667;-0.788333333
Bucclangula;Kvinand;Bucephala clangula;Common Goldeneye;4.863772757;5.05;-1.05;10.28333333
Butbuteo;Musvåk;Buteo buteo;Common Buzzard;10.69866874;10.56666667;6.25;15.53333333
Butlagopus;Fjellvåk;Buteo lagopus;Rough-legged Buzzard;-2.610610759;-2.666666667;-9.733333333;4.266666667
Calalpina;Myrsnipe;Calidris alpina;Dunlin;-2.291040378;-3.5;-7.716666667;4.516666667
Calbrachydactyla;Dverglerke;Calandrella brachydactyla;Greater Short-toed Lark;16.07698089;16.06666667;10.28333333;22.1
Calfalcinellus;Fjellmyrløper;Calidris falcinellus;Broad-billed Sandpiper;0.93124995;3.3;-5.433333333;6.416666667
Callapponicus;Lappspurv;Calcarius lapponicus;Lapland Bunting;-4.615866207;-4.616666667;-10.96666667;2.433333333
Calmaritima;Fjæreplytt;Calidris maritima;Purple Sandpiper;-5.509062502;-6.516666667;-10.83333333;3.033333333
Calminuta;Dvergsnipe;Calidris minuta;Little Stint;-3.827832896;-4.05;-7.8;0.366666667
Calpugnax;Brushane;Calidris pugnax;Ruff;2.734161761;3.083333333;-5.016666667;10.95
Caltemminckii;Temmincksnipe;Calidris temminckii;Temminck's Stint;-2.522825424;-3.35;-6.4;3.683333333
Capeuropaeus;Nattravn;Caprimulgus europaeus;European Nightjar;12.96128625;12.21666667;6.853333333;20.35
