Route_Point_ID;Aar1;Latitude.x;Longitude.x;Hoh_DEM
204_12;2012;60.18377106;10.86789119;513
206_15;2012;60.50793511;11.15477771;287
206_15;2018;60.50793511;11.15477771;287
301_20;2019;59.84993413;10.88795817;225
403_17;2013;60.35282253;11.4941547;485
406_4;2009;60.53742105;12.10892774;178
408_1;2008;60.81689874;10.75875672;222
604_5;2012;59.8268969;9.920798877;213
604_1;2016;59.81616327;9.922428471;202
604_3;2016;59.82153009;9.921613801;194
605_9;2016;59.84214581;10.256331;98
701_14;2017;59.1774693;10.30582182;39
701_14;2018;59.1774693;10.30582182;39
701_10;2019;59.16959898;10.31320162;26
805_14;2009;59.10908158;8.478628622;251
805_14;2011;59.10908158;8.478628622;251
805_14;2012;59.10908158;8.478628622;251
808_14;2008;59.25345059;8.134292449;672
905_7;2012;58.64935833;8.855226052;102
1201_13;2018;59.57773468;5.505712921;46
1610_20;2016;62.90058375;10.11101561;393
1619_9;2010;63.24737852;10.42354542;208
1716_6;2019;64.23505202;10.98565478;156
1721_2;2013;64.39394889;11.37013302;51
1730_1;2011;64.72387032;11.66986845;113
107_16;2017;59.71561043;11.8866718;254
107_15;2019;59.71830248;11.88642358;256
203_11;2011;59.87362656;11.22834425;171
206_16;2019;60.50524448;11.15509079;270
301_3;2009;59.85513981;10.88195029;255
301_17;2016;59.85043986;10.90398281;226
403_13;2015;60.36102831;11.49871713;389
404_5;2011;60.38535314;12.44912862;385
412_3;2018;60.98343835;10.73654925;521
415_8;2012;61.02723789;12.07553983;490
418_10;2018;61.18886757;12.07173015;543
431_7;2019;61.97860417;11.29152233;1118
437_5;2019;62.1538879;11.9558032;713
439_2;2015;62.28037389;10.90131321;841
506_6;2018;60.96884271;10.07240627;473
511_18;2015;61.2518859;9.372385052;980
511_15;2017;61.25503436;9.383027874;997
701_14;2010;59.1774693;10.30582182;39
702_1;2014;59.34488398;10.31015109;64
905_19;2018;58.63620914;8.862721419;68
1110_14;2013;59.26420935;5.858657296;54
1216_19;2015;60.36577567;5.258848729;98
1416_19;2017;61.50418336;5.24216771;23
1423_2;2015;61.75575414;6.523899536;788
1611_13;2017;62.92030467;10.48659348;537
1854_6;2015;68.16308539;15.94919133;157
1862_18;2012;68.47234459;15.98413434;257
1864_16;2018;68.81329752;15.56777702;25
1865_10;2017;68.97294773;15.1148755;11
102_11;2012;59.21910648;10.98525088;12
413_8;2018;61.01117081;11.41059735;206
418_7;2018;61.18850487;12.05501254;544
102_14;2010;59.21104327;10.98620159;10
102_14;2011;59.21104327;10.98620159;10
102_14;2012;59.21104327;10.98620159;10
102_14;2013;59.21104327;10.98620159;10
102_18;2013;59.20534538;10.97635992;9
102_14;2014;59.21104327;10.98620159;10
102_18;2014;59.20534538;10.97635992;9
102_11;2015;59.21910648;10.98525088;12
102_14;2015;59.21104327;10.98620159;10
102_18;2015;59.20534538;10.97635992;9
102_14;2017;59.21104327;10.98620159;10
102_18;2017;59.20534538;10.97635992;9
103_17;2012;59.21485995;11.29610378;94
103_17;2013;59.21485995;11.29610378;94
202_2;2016;59.70963498;11.54037388;166
202_2;2017;59.70963498;11.54037388;166
203_12;2008;59.87093558;11.2286465;158
203_10;2009;59.87347418;11.22300973;178
203_12;2009;59.87093558;11.2286465;158
203_17;2014;59.86001194;11.2238971;135
415_1;2012;61.01354785;12.06569441;439
505_8;2008;60.80823406;10.10821934;139
703_7;2019;59.49299488;10.28368962;118
408_7;2017;60.83050928;10.76246591;219
421_15;2007;61.31408594;11.05627877;873
1003_14;2010;58.09647009;7.746303528;31
1104_12;2017;58.62342781;5.768184196;246
1107_17;2013;59.07886775;5.618751969;5
1107_7;2016;59.08871722;5.641865976;29
1107_8;2019;59.08607134;5.643120205;33
1218_4;2016;60.53181956;5.197486638;62
1218_4;2017;60.53181956;5.197486638;62
1218_4;2018;60.53181956;5.197486638;62
1218_4;2019;60.53181956;5.197486638;62
1428_12;2010;61.99397561;5.100334841;4
1503_11;2016;62.10514776;6.74389692;327
1503_11;2018;62.10514776;6.74389692;327
1516_2;2013;62.79476003;7.644232649;20
1516_20;2015;62.79356598;7.650757926;5
1629_1;2007;63.69102409;9.604012177;7
1629_4;2007;63.69118628;9.62282268;9
1629_5;2007;63.69192588;9.628177842;10
1629_7;2007;63.68947403;9.63471574;13
1629_8;2007;63.68679723;9.635242219;14
1629_8;2011;63.68679723;9.635242219;14
1629_11;2011;63.67874915;9.636760032;8
1629_4;2013;63.69118628;9.62282268;9
1629_5;2013;63.69192588;9.628177842;10
1629_7;2013;63.68947403;9.63471574;13
1629_8;2013;63.68679723;9.635242219;14
1629_5;2014;63.69192588;9.628177842;10
1629_8;2014;63.68679723;9.635242219;14
1629_9;2014;63.68411155;9.635748184;13
1629_6;2017;63.69192071;9.633455982;11
1629_7;2017;63.68947403;9.63471574;13
1629_11;2018;63.67874915;9.636760032;8
1629_2;2019;63.69153095;9.611505431;7
1629_5;2019;63.69192588;9.628177842;10
1629_7;2019;63.68947403;9.63471574;13
1629_9;2019;63.68411155;9.635748184;13
1631_1;2008;64.02599209;9.908555728;1
1631_2;2008;64.02706634;9.914710049;2
1631_3;2008;64.02642666;9.920787907;5
1631_20;2008;64.02331459;9.909041667;13
1631_1;2011;64.02599209;9.908555728;1
1631_2;2011;64.02706634;9.914710049;2
1631_3;2013;64.02642666;9.920787907;5
1631_1;2019;64.02599209;9.908555728;1
1839_3;2011;67.02718553;14.6647806;479
1847_17;2010;67.34422614;15.52576833;52
1847_2;2016;67.34700579;15.49790874;56
1848_15;2019;67.49856045;14.99180479;32
1852_6;2019;67.81354892;15.46332945;14
1866_1;2015;69.11853948;15.99031374;4
1866_4;2015;69.11823679;15.96787388;13
1866_8;2015;69.12370118;15.95302716;20
1866_18;2015;69.12617802;15.99086089;13
1866_19;2015;69.12348799;15.99073901;8
1866_20;2015;69.1208257;15.9920265;3
1866_1;2016;69.11853948;15.99031374;4
1866_4;2016;69.11823679;15.96787388;13
1866_5;2016;69.11827909;15.96033334;16
1866_8;2016;69.12370118;15.95302716;20
1866_9;2016;69.12639124;15.95314441;21
1866_20;2016;69.1208257;15.9920265;3
1866_1;2017;69.11853948;15.99031374;4
1866_2;2017;69.11815121;15.98295488;11
1866_8;2017;69.12370118;15.95302716;20
1866_18;2017;69.12617802;15.99086089;13
1866_19;2017;69.12348799;15.99073901;8
1866_20;2017;69.1208257;15.9920265;3
1866_1;2018;69.11853948;15.99031374;4
1866_2;2018;69.11815121;15.98295488;11
1866_3;2018;69.11819417;15.9754144;12
1866_8;2018;69.12370118;15.95302716;20
1866_20;2018;69.1208257;15.9920265;3
1866_1;2019;69.11853948;15.99031374;4
1866_2;2019;69.11815121;15.98295488;11
1866_19;2019;69.12348799;15.99073901;8
1866_20;2019;69.1208257;15.9920265;3
1933_7;2018;69.83312808;21.19357396;9
2002_3;2016;68.97087234;22.29105961;447
2002_4;2016;68.97354771;22.2919407;448
2004_5;2017;68.93563709;23.18300233;350
2040_15;2017;70.17946503;24.19734121;368
2052_10;2019;70.00712862;29.38900606;22
2052_12;2019;70.00390158;29.39477188;17
2058_1;2012;70.22641916;28.53636645;125
2058_2;2018;70.22903218;28.53812454;124
2059_4;2015;70.16076004;29.46566426;156
2059_16;2015;70.14978036;29.49841965;152
2059_19;2018;70.15167913;29.47540929;149
2074_18;2013;70.99177385;24.03603693;2
2074_20;2013;70.99709064;24.03848852;11
2074_18;2016;70.99177385;24.03603693;2
2074_18;2017;70.99177385;24.03603693;2
2074_19;2017;70.99443225;24.03726256;12
2074_19;2018;70.99443225;24.03726256;12
2074_17;2019;70.98911544;24.03481162;3
2074_18;2019;70.99177385;24.03603693;2
102_11;2010;59.21910648;10.98525088;12
102_11;2011;59.21910648;10.98525088;12
102_11;2013;59.21910648;10.98525088;12
102_11;2014;59.21910648;10.98525088;12
102_11;2017;59.21910648;10.98525088;12
1629_5;2018;63.69192588;9.628177842;10
1629_7;2018;63.68947403;9.63471574;13
102_9;2015;59.21878097;10.97477136;5
102_11;2019;59.21910648;10.98525088;12
103_11;2013;59.22843286;11.30076721;143
103_11;2016;59.22843286;11.30076721;143
103_11;2018;59.22843286;11.30076721;143
103_11;2019;59.22843286;11.30076721;143
203_17;2007;59.86001194;11.2238971;135
203_19;2008;59.8597233;11.21384083;101
203_19;2009;59.8597233;11.21384083;101
203_2;2012;59.86209938;11.20285373;107
203_5;2012;59.87016349;11.20192235;111
203_19;2012;59.8597233;11.21384083;101
203_5;2014;59.87016349;11.20192235;111
203_19;2014;59.8597233;11.21384083;101
203_2;2015;59.86209938;11.20285373;107
203_5;2016;59.87016349;11.20192235;111
203_5;2017;59.87016349;11.20192235;111
204_7;2009;60.18591927;10.84597525;509
204_7;2011;60.18591927;10.84597525;509
204_7;2016;60.18591927;10.84597525;509
301_11;2007;59.86403899;10.90767136;198
301_18;2008;59.85027458;10.89863544;218
301_11;2009;59.86403899;10.90767136;198
301_11;2011;59.86403899;10.90767136;198
301_11;2012;59.86403899;10.90767136;198
301_11;2014;59.86403899;10.90767136;198
301_11;2016;59.86403899;10.90767136;198
301_10;2018;59.86387387;10.90232179;219
301_11;2018;59.86403899;10.90767136;198
409_6;2007;60.84037039;11.08722142;154
409_6;2008;60.84037039;11.08722142;154
409_19;2008;60.82724927;11.09986865;139
409_18;2015;60.82763812;11.1042908;141
411_18;2019;60.85251322;12.09705839;388
413_7;2007;61.01136616;11.40519038;206
413_7;2008;61.01136616;11.40519038;206
413_7;2010;61.01136616;11.40519038;206
413_16;2010;60.99817183;11.42871889;201
413_7;2012;61.01136616;11.40519038;206
413_7;2014;61.01136616;11.40519038;206
413_7;2018;61.01136616;11.40519038;206
413_7;2019;61.01136616;11.40519038;206
414_8;2014;61.01961462;11.74298303;305
423_14;2008;61.47798629;11.03553431;260
423_13;2009;61.48034218;11.03653325;260
423_15;2009;61.47529594;11.0358844;260
423_12;2010;61.48335775;11.03485215;263
423_15;2010;61.47529594;11.0358844;260
423_12;2017;61.48335775;11.03485215;263
423_14;2017;61.47798629;11.03553431;260
423_15;2017;61.47529594;11.0358844;260
423_12;2019;61.48335775;11.03485215;263
428_3;2012;61.65658327;11.66475207;759
428_20;2018;61.65117011;11.67057552;759
434_12;2012;62.11759232;10.60660652;480
434_12;2015;62.11759232;10.60660652;480
434_12;2017;62.11759232;10.60660652;480
434_9;2018;62.11992023;10.59474736;481
434_11;2018;62.12028144;10.60621206;480
434_14;2018;62.11222304;10.60739571;507
434_12;2019;62.11759232;10.60660652;480
436_16;2008;62.13581442;11.64090797;709
436_17;2009;62.13487524;11.63505041;709
436_16;2011;62.13581442;11.64090797;709
436_17;2011;62.13487524;11.63505041;709
436_17;2014;62.13487524;11.63505041;709
436_9;2015;62.1489773;11.62792597;713
436_16;2017;62.13581442;11.64090797;709
436_17;2018;62.13487524;11.63505041;709
436_9;2019;62.1489773;11.62792597;713
437_1;2008;62.14312997;11.95688449;697
437_1;2009;62.14312997;11.95688449;697
437_1;2010;62.14312997;11.95688449;697
442_10;2007;62.43073907;10.20559739;986
442_7;2010;62.43014297;10.18823882;998
442_8;2015;62.43034496;10.1940186;994
503_16;2010;60.62208663;9.823407843;664
505_15;2010;60.79753386;10.12515802;135
505_15;2015;60.79753386;10.12515802;135
506_11;2014;60.96985045;10.10000249;375
506_12;2014;60.96717129;10.10042717;381
507_9;2011;61.07522236;8.734755611;936
507_9;2012;61.07522236;8.734755611;936
507_15;2013;61.06476042;8.747385838;938
507_9;2014;61.07522236;8.734755611;936
507_9;2016;61.07522236;8.734755611;936
515_8;2014;61.31413718;10.70285186;804
515_11;2014;61.31441174;10.71954664;775
515_5;2015;61.3111025;10.69204168;859
515_10;2015;61.31449055;10.71402211;777
515_10;2016;61.31449055;10.71402211;777
515_11;2019;61.31441174;10.71954664;775
516_14;2012;61.41852362;9.353589763;1023
516_7;2017;61.42563075;9.329738438;913
517_6;2010;61.45181659;9.996164956;872
517_7;2011;61.45202694;10.00176149;872
517_13;2011;61.44748149;10.02504078;847
517_14;2013;61.44479375;10.02547765;882
517_6;2014;61.45181659;9.996164956;872
517_6;2015;61.45181659;9.996164956;872
517_13;2015;61.44748149;10.02504078;847
517_6;2016;61.45181659;9.996164956;872
517_6;2017;61.45181659;9.996164956;872
517_6;2019;61.45181659;9.996164956;872
519_4;2016;61.54432812;8.662494767;1180
519_6;2017;61.5495701;8.665843425;1182
519_2;2019;61.54019708;8.654714809;1180
519_4;2019;61.54432812;8.662494767;1180
519_5;2019;61.54692536;8.663633023;1177
520_4;2012;61.58058511;9.295786395;869
520_19;2017;61.57326776;9.308389006;867
523_9;2012;61.74768713;9.281803733;572
523_12;2012;61.74548095;9.293617705;617
523_19;2012;61.73404856;9.278650739;853
523_20;2012;61.73381753;9.273008274;850
525_12;2007;61.77210849;9.972564269;1043
525_13;2011;61.76942103;9.973010039;1041
525_13;2013;61.76942103;9.973010039;1041
525_9;2018;61.77437296;9.960789696;1068
525_13;2019;61.76942103;9.973010039;1041
526_2;2007;61.8149835;7.537808732;1095
526_16;2007;61.81385133;7.56669308;1017
526_20;2018;61.81261725;7.544108492;1043
530_10;2009;62.00525881;7.85936236;697
530_16;2009;61.99219734;7.868192702;679
530_12;2018;62.00274776;7.86403932;693
530_12;2019;62.00274776;7.86403932;693
533_13;2011;62.19451341;8.514840724;617
533_5;2014;62.19603343;8.485780616;614
533_7;2014;62.1987807;8.490769038;611
534_6;2012;62.21430445;8.828933352;981
535_9;2010;62.24401464;9.535110723;1012
535_7;2016;62.2435558;9.523612417;1010
535_8;2017;62.2437853;9.529371149;1007
535_9;2019;62.24401464;9.535110723;1012
601_4;2009;59.48960891;9.653212008;554
601_5;2011;59.49229612;9.65278712;567
601_4;2017;59.48960891;9.653212008;554
602_13;2014;59.65162435;9.654052325;138
604_9;2009;59.83047071;9.936113586;214
604_9;2011;59.83047071;9.936113586;214
604_19;2011;59.81658205;9.933085074;216
604_9;2012;59.83047071;9.936113586;214
604_17;2013;59.81700204;9.944704876;250
604_19;2013;59.81658205;9.933085074;216
604_9;2015;59.83047071;9.936113586;214
604_9;2018;59.83047071;9.936113586;214
604_19;2018;59.81658205;9.933085074;216
605_1;2008;59.82814409;10.24224679;61
605_4;2008;59.83593472;10.24176976;38
605_7;2009;59.84176223;10.24566291;40
605_4;2010;59.83593472;10.24176976;38
605_6;2010;59.84157019;10.24032003;39
605_4;2011;59.83593472;10.24176976;38
605_1;2013;59.82814409;10.24224679;61
605_3;2014;59.83351268;10.24148334;57
605_4;2016;59.83593472;10.24176976;38
605_8;2016;59.84195929;10.25045283;97
605_6;2018;59.84157019;10.24032003;39
608_6;2015;60.16369091;10.19371428;80
608_6;2017;60.16369091;10.19371428;80
610_19;2015;60.257524;8.886671625;462
610_19;2016;60.257524;8.886671625;462
610_2;2018;60.26041408;8.875385617;468
612_10;2016;60.31336817;9.867031742;214
617_2;2015;60.69479831;7.556692528;1239
617_3;2015;60.6919811;7.556086168;1241
617_1;2016;60.69639112;7.561182223;1238
617_2;2016;60.69479831;7.556692528;1239
